#,Date searched,Terms,Search engine,Title,Year published,Country of study,Continent,Language if not English,Microscopy,PCR,Mouse bioassay,Number of felids/samples,Positive felid/samples,% shedding (or reshedding),Genotypes,Strain,Length of study/sampling (months),Relevant,Topic if relevant,Freerange,Notes,Link,,,,,,,
1011,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,"Parasitological fecal studies of equids, dogs, cats and hedgehogs during the years 1984-1991",1993,Germany,Europe,German,Y,N,N,1147,7,0.61,,,84,Y,Domestic-Domestic,N,,https://www.ncbi.nlm.nih.gov/pubmed/8261912,,,,,,,
65,2/16,toxoplasma AND cat AND shedding,Pubmed,Neonatal toxoplasmosis in littermate cats,1993,USA,North America,,Y,N,N,15,4,26.67,,,,Y,Domestic-Domestic,N,T. gondii like oocysts,https://www.ncbi.nlm.nih.gov/pubmed/8288476,,,,,,,
1059,3/31,,Reference search,Infektionsquellen und infektionswege aus der Sicht des Toxoplasmose-Screenings der Schwangeren in Osterreich,1996,Austria,Europe,German,Y,N,N,1368,27,1.973684211,,,,Y,Domestic-Domestic,N,,,,,,,,,
38,2/16,toxoplasma AND cat AND shedding,Pubmed,Prevalence of IgG and IgM antibodies specific to Toxoplasma gondii in cats,1998,Czech Republic,Europe,,Y,N,Y,390,0,0.00,,,18,Y,Domestic-Domestic,N,,https://www.ncbi.nlm.nih.gov/pubmed/9870370,,,,,,,
1067,4/6,,Reference search,Prevalence of enteric zoonotic organisms in cats,2000,USA,North America,,Y,N,N,206,0,0,,,,Y,Domestic-Domestic,N,,https://avmajournals.avma.org/doi/abs/10.2460/javma.2000.216.687,,,,,,,
1022,3/23,,Reference search,Prevalence of Enteric Zoonotic Agents in Cats less than 1 Year Old in Central New York State,2001,USA,North America,,Y,N,N,263,3,1.14,,,7,Y,Domestic-Domestic,N,,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1939-1676.2001.tb02294.x,,,,,,,
1061,3/31,,Reference search,Endoparasites in dogs and cats in Germany 1999–2002,2003,Germany,Europe,,Y,N,N,2473,22,0.8896077638,,,,Y,Domestic-Domestic,N,,https://link.springer.com/article/10.1007/s00436-003-0922-6,,,,,,,
1058,3/31,,Reference search,"Helminth parasites of the house cat, Felis catus, in Connecticut, USA",2003,USA,North America,,Y,N,N,450,3,0.6666666667,,,,Y,Domestic-Domestic,N,,https://bioone.org/journals/Comparative-Parasitology/volume-70/issue-2/1525-2647(2003)070[0115:HPOTHC]2.0.CO;2/Helminth-Parasites-of-the-House-Cat-Felis-catus-in-Connecticut/10.1654/1525-2647(2003)070[0115:HPOTHC]2.0.CO;2.full,,,,,,,
579,3/8,"toxoplasma, felid, species",Pubmed,"Results of parasitological examinations of faecal samples from horses, ruminants, pigs, dogs, cats, hedgehogs and rabbits between 1998 and 2002",2004,Germany,Europe,,Y,N,N,441,3,0.6802721088,,,48,Y,Domestic-Domestic,N,toxoplasma like,https://www.ncbi.nlm.nih.gov/pubmed/15287577,,,,,,,
364,2/28,"toxoplasma, felid, genotype",Pubmed,"Toxoplasma gondii infections in cats from Paraná, Brazil: seroprevalence, tissue distribution, and biologic and genetic characterization of isolates",2004,Brazil,South America,,Y,Y,N,54,33,61.11,"BrI, BrII, BrIII (6, 11, 8), #14, #19, #21, #42, #47, #80, #104, #119, 120, 126",TgCatBr 1-37,,Y,Domestic-Domestic,N,bioassay,https://www.ncbi.nlm.nih.gov/pubmed/15359466,,,,,,,
548,3/8,"toxoplasma, felid, species",Pubmed,"Intestinal parasites in dogs and cats with gastrointestinal symptoms in Santiago, Chile",2006,Chile,South America,Spanish,Y,N,N,230,10,4.35,,,84,Y,Domestic-Domestic,N,,https://scielo.conicyt.cl/scielo.php?script=sci_arttext&pid=S0034-98872006000200009&lng=en&nrm=iso&tlng=en,,,,,,,
14,2/16,toxoplasma AND cat AND shedding,Pubmed,Detection of Toxoplasma gondii-like oocysts in cat feces and estimates of the environmental oocyst burden,2007,USA,North America,,Y,N,N,326,3,0.92,,,24,Y,Domestic-Domestic,N,free range?,https://www.ncbi.nlm.nih.gov/pubmed/18052801,,,,,,,
37,2/16,toxoplasma AND cat AND shedding,Pubmed,Occurrence of Toxoplasma gondii and Hammondia hammondi oocysts in the faeces of cats from Germany and other European countries,2008,"Germany, France, etc.",Europe,,Y,Y,N,24106,26,0.11,II,"TG GER2-22, TGF1, TGF2, TGCHI1, TGA1",24,Y,Domestic-Domestic,N,,https://www.ncbi.nlm.nih.gov/pubmed/18226453,,,,,,,
52,2/16,toxoplasma AND cat AND shedding,Pubmed,Atypical Toxoplasma gondii genotypes identified in oocysts shed by cats in Germany,2010,Germany,Europe,,Y,Y,Y,18259,46,0.25,"II, III, mixed, atypical","TG-GER13, TG-GER02, TG-GER20, TG-GER63, TG-GER61",16,Y,Domestic-Domestic,N,,https://www.ncbi.nlm.nih.gov/pubmed/19695254,,,,,,,
63,2/16,toxoplasma AND cat AND shedding,Pubmed,"Prevalence and genotypes of Toxoplasma gondii in feline faeces (oocysts) and meat from sheep, cattle and pigs in Switzerland",2011,Switzerland,Europe,,Y,Y,N,252,1,0.40,II,,20,Y,Domestic-Domestic,N,"Interestingly, the only cat that shed T. gondii oocysts in our study was over the age of 10 having no outdoor access.",https://www.sciencedirect.com/science/article/pii/S0304401710006965?via%3Dihub,,,,,,,
844,3/10,"toxoplasma, transmission, felid",Pubmed,"Intestinal parasites in dogs and cats from the district of Évora, Portugal",2011,Portugal,Europe,,Y,Y,N,22,1,4.55,,,6,Y,Domestic-Domestic,N,,https://www.sciencedirect.com/science/article/pii/S0304401711001208?via%3Dihub,,,,,,,
556,3/8,"toxoplasma, felid, species",Pubmed,Prevalence of fecal-borne parasites detected by centrifugal flotation in feline samples from two shelters in upstate New York,2011,USA,North America,,Y,N,N,1322,11,0.83,,,42,Y,Domestic-Domestic,N,Toxoplasma like oocysts,https://www.ncbi.nlm.nih.gov/pubmed/21334238,,,,,,,
69,2/16,toxoplasma AND cat AND shedding,Pubmed,Feline toxoplasmosis in Finland: cross-sectional epidemiological study and case series study,2012,Finland,Europe,,Y,Y,N,131,1,0.76,II,,12,Y,Domestic-Domestic,N,,https://www.ncbi.nlm.nih.gov/pubmed/23012380,,,,,,,
331,2/28,"toxoplasma, felid, genotype",Pubmed,"Incidence and genotypes of Toxoplasma gondii in the muscle of sheep, cattle, pigs as well as in cat feces in Switzerland",2012,Switzerland,Europe,German,Y,Y,N,252,1,0.40,II,,,Y,Domestic-Domestic,N,references oocyst shedding,https://sat.gstsvs.ch/fileadmin/media/pdf/archive/2012/06/SAT154060251.pdf,,,,,,,
99,2/21,toxoplasma AND cat AND shedding,WoS,Seroprevalence and factors associated with Toxoplasma gondii infection in domestic cats from urban areas in Latvia,2013,Latvia,Europe,,Y,N,N,80,2,2.50,,,4,Y,Domestic-Domestic,N,"T. gondii-like, not confirmed",https://bioone.org/journals/Journal-of-Parasitology/volume-99/issue-1/GE-3254.1/Seroprevalence-and-Factors-Associated-with-Toxoplasma-gondii-Infection-in-Domestic/10.1645/GE-3254.1.full,,,,,,,
11,2/16,toxoplasma AND cat AND shedding,Pubmed,"Ante-mortem diagnosis, diarrhea, oocyst shedding, treatment, isolation, and genetic typing of Toxoplasma gondii associated with clinical toxoplasmosis in a naturally infected cat",2013,USA,North America,,Y,N,Y,1,1,100.00,#4,TgCatUs9,,Y,Domestic-Domestic,N,,https://doi.org/10.1645/GE-3257.1,,,,,,,
967,3/11,"toxoplasma, felid, oocyst, feces",Pubmed,Toxoplasma gondii prevalence in cats from Lisbon and in pigs from centre and south of Portugal,2014,Portugal,Europe,,N,Y,N,45,16,35.56,,,6,Y,Domestic-Domestic,N,,https://www.ncbi.nlm.nih.gov/pubmed/24418601,,,,,,,
562,3/8,"toxoplasma, felid, species",Pubmed,Enteropathogen co-infection in UK cats with diarrhoea,2014,UK,Europe,,Y,Y,N,1088,11,1.01,,,18,Y,Domestic-Domestic,N,1% prevalence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3896830/,,,,,,,
39,2/16,toxoplasma AND cat AND shedding,Pubmed,"Seroprevalence of Toxoplasma gondii (Nicole & Manceaux, 1909) and retroviral status of client-owned pet cats (Felis catus, Linnaeus, 1758) in Rio de Janeiro, Brazil",2014,Brazil,South America,,Y,N,N,54,0,0.00,,,16,Y,Domestic-Domestic,N,,https://www.ncbi.nlm.nih.gov/pubmed/24878997,,,,,,,
360,2/28,"toxoplasma, felid, genotype",Pubmed,A retrospective molecular study of select intestinal protozoa in healthy pet cats from Italy,2015,Italy,Europe,,Y,Y,N,146,15,10.27,"I, II, III",,,Y,Domestic-Domestic,N,,https://www.ncbi.nlm.nih.gov/pubmed/24793744,,,,,,,
10,2/16,toxoplasma AND cat AND shedding,Pubmed,"OCCURRENCE AND GENETIC CHARACTERIZATION OF GRA6 AND SAG2 FROM TOXOPLASMA GONDII OOCYSTS IN CAT FECES, KUNMING, CHINA",2016,China,Asia,,Y,N,Y,115,5,4.35,II,KM,2,Y,Domestic-Domestic,N,,http://www.thaiscience.info/journals/Article/TMPH/10987385.pdf,,,,,,,
6,2/16,toxoplasma AND cat AND shedding,Pubmed,Seasonality in the proportions of domestic cats shedding Toxoplasma gondii or Hammondia hammondi oocysts is associated with climatic factors,2016,Germany,Europe,,Y,Y,N,61224,84,0.14,,,55,Y,Domestic-Domestic,N,,https://www.sciencedirect.com/science/article/pii/S0020751916000072?via%3Dihub,,,,,,,
482,2/29,"toxoplasma, felid, species",Pubmed,Sequence variation in the B1 gene among Toxoplasma gondii isolates from swine and cats in Italy,2017,Italy,Europe,,N,Y,N,77,13,16.88,,,16,Y,Domestic-Domestic,N,,https://www.sciencedirect.com/science/article/pii/S0034528817301601,,,,,,,
487,2/29,"toxoplasma, felid, species",Pubmed,"Prevalence of Toxoplasma gondii and Other Gastrointestinal Parasites in Domestic Cats from Households in Thika Region, Kenya",2017,Kenya,Africa,,Y,N,Y,103,8,7.77,,,3,Y,Domestic-Domestic,N,,https://www.ncbi.nlm.nih.gov/pubmed/28691033,,,,,,,
259,2/22,"toxoplasma, oocyst, shedding",WoS,"Investigation of the diagnostic value of serology, cytology and polymerase chain reaction in cat toxoplasmosis",2017,Turkey,Asia,Turkish,Y,Y,N,102,0,0.00,,,,Y,Domestic-Domestic,N,,http://vetjournal.ankara.edu.tr/tr/issue/43287/526070,,,,,,,
16,2/16,toxoplasma AND cat AND shedding,Pubmed,Detection of Toxoplasma gondii in faeces of privately owned cats using two PCR assays targeting the B1 gene and the 529-bp repetitive element,2017,Italy,Europe,,Y,Y,N,78,16,20.51,,,14,Y,Domestic-Domestic,N,,https://www.ncbi.nlm.nih.gov/pubmed/28127718,,,,,,,
319,2/26,"toxoplasma, felid, genotype",Pubmed,"Abundance, zoonotic potential and risk factors of intestinal parasitism amongst dog and cat populations: The scenario of Crete, Greece",2017,Greece,Europe,,Y,N,N,264,1,0.38,,,40,Y,Domestic-Domestic,N,,https://www.ncbi.nlm.nih.gov/pubmed/28122583,,,,,,,
959,3/11,"toxoplasma, felid, oocyst, feces",Pubmed,"10-year parasitological examination results (2003 to 2012) of faecal samples from horses, ruminants, pigs, dogs, cats, rabbits and hedgehogs",2017,Germany,Europe,,Y,N,N,903,6,0.66,,,120,Y,Domestic-Domestic,N,t gondii like,https://link.springer.com/article/10.1007%2Fs00436-017-5646-0,,,,,,,
461,2/29,"toxoplasma, felid, species",Pubmed,"Prevalence of Toxoplasma gondii and other intestinal parasites in cats in Tokachi sub-prefecture, Japan",2018,Japan,Asia,,Y,N,N,351,1,0.28,,,9,Y,Domestic-Domestic,N,,https://www.ncbi.nlm.nih.gov/pubmed/29731476,,,,,,,
946,3/10,"toxoplasma, felid, oocyst, feces",Pubmed,"Prevalence of Toxoplasma gondii oocysts through Copro-PCR in cats at Pet Center (UVAS), Lahore, Pakistan",2018,Pakistan,Asia,,Y,Y,N,470,11,2.34,,,12,Y,Domestic-Domestic,N,,https://www.ncbi.nlm.nih.gov/pubmed/29371731,,,,,,,
467,2/29,"toxoplasma, felid, species",Pubmed,"Intestinal parasites and lungworms in stray, shelter and privately owned cats of Switzerland",2019,Switzerland,Europe,,Y,N,N,664,4,0.60,,,,Y,Domestic-Domestic,N,,https://www.sciencedirect.com/science/article/pii/S1383576918303994?via%3Dihub,,,,,,,
1115,2/2/21,"toxoplasma, cat, shedding",WoS,"Prevalence of Toxoplasma gondii in pet and stray cats in Klang Valley, Malaysia",2020,Malaysia,Asia,,N,Y,N,201,21,10.45,,,,Y,Domestic-Domestic,N,,https://msptm.org/files/Vol37No3/542-550-Watanabe-M.pdf,,,,,,,
1111,2/2/21,"toxoplasma, felid, oocyst, feces",Pubmed,Potential sources of infection with selected zoonotic agents in the veterinary work environment - pilot studies,2020,Poland,Europe,,N,Y,N,65,0,0.00,,,,Y,Domestic-Domestic,N,,https://pubmed.ncbi.nlm.nih.gov/32208594/,,,,,,,
1103,2/2/21,"toxoplasma, transmission, felid",Pubmed,Seroprevalence of Toxoplasma gondii in household cats in Myanmar and molecular identification of parasites using feline faecal oocysts,2020,Myanmar,Asia,,Y,Y,N,30,6,20.00,,,,Y,Domestic-Domestic,N,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7502821/,,,,,,,
1110,2/2/21,"toxoplasma, felid, oocyst, feces",Pubmed,Copro-molecular diagnosis of the Toxoplasmatinae subfamily in dog and cat populations in northern Iran,2020,Iran,Asia,,Y,Y,N,80,18,22.50,,,,Y,Domestic-Domestic,N,,https://www.e-epih.org/journal/view.php?doi=10.4178/epih.e2020074,,,,,,,
1005,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Retrospective survey of parasitism identified in feces of client-owned cats in North America from 2007 through 2018,2020,USA,North America,,Y,N,N,2586,1,0.04,,,144,Y,Domestic-Domestic,N,t gondii like,https://www.ncbi.nlm.nih.gov/pubmed/31841945,,,,,,,
817,3/10,"toxoplasma, transmission, felid",Pubmed,Experimental transmission of Toxoplasma gondii,1965,USA,North America,,Y,N,Y,1,1,100.00,II,Beverly,,Y,Domestic-Exp,N,,https://www.nature.com/articles/206961a0.pdf,,,,,,,
1050,3/26,,Reference search,Isolation of Toxoplasma gondii from the Feces of a Helminth Free Cat,1968,UK,Europe,,Y,N,N,2,2,100,II,Beverly,4,Y,Domestic-Exp,N,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1550-7408.1968.tb02211.x,,,,,,,
1051,3/26,,Reference search,The faecal transmission of Toxoplasma gondii.,1968,Denmark,Europe,,Y,N,Y,55,18,32.72727273,,,,Y,Domestic-Exp,N,no link to full article,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1699-0463.1968.tb03501.x,,,,,,,
867,3/10,"toxoplasma, transmission, felid",Pubmed,Observations on the faecal transmission of Toxoplasma gondii,1969,UK,Europe,,Y,N,Y,2,2,100.00,,,1,Y,Domestic-Exp,N,,https://www.cabdirect.org/cabdirect/abstract/19702901364,,,,,,,
1048,3/26,,Reference search,Life cycle of toxoplasma gondii.,1969,UK,Europe,,Y,N,N,2,2,100,,,,Y,Domestic-Exp,N,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1630290/?page=1,,,,,,,
668,3/10,"toxoplasma, transmission, felid",Pubmed,Toxoplasma gondii: transmission through feces in absence of Toxocara cati eggs,1969,USA,North America,,Y,N,Y,4,4,100,III,M7741,0.5,Y,Domestic-Exp,N,,https://science.sciencemag.org/content/164/3878/431,,,,,,,
892,3/10,"toxoplasma, transmission, felid",Pubmed,Toxoplasma gondii: fecal forms separated from eggs of the nematode Toxocara cati,1969,USA,North America,,Y,N,Y,10,10,100.00,III,M7741,,Y,Domestic-Exp,N,,https://www.jstor.org/stable/1726597?Search=yes&resultItemClick=true&searchText=Toxoplasma&searchText=gondii&searchText=Fecal&searchText=Forms&searchText=Separated&searchText=from&searchText=Eggs&searchText=of&searchText=the&searchText=Nematode&searchText=Toxocara&searchText=cati&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3DToxoplasma%2Bgondii%253A%2BFecal%2BForms%2BSeparated%2Bfrom%2BEggs%2Bof%2Bthe%2BNematode%2BToxocara%2Bcati%26amp%3Bfilter%3D&ab_segments=0%2Fbasic_SYC-5004%2Ftest&refreqid=search%3Ad9ae1177355709955e2268eb70712efc&seq=1#metadata_info_tab_contents,,,,,,,
611,3/8,"toxoplasma, felid, species",Pubmed,Die Oocysten-Ausscheidung bei experimentell infizierten Katzen in Abhängigkeit vom Toxoplasma-Stamm,1970,Germany,Europe,German,Y,N,N,23,17,73.91304348,II,Gail,,Y,Domestic-Exp,N,,https://link.springer.com/content/pdf/10.1007/BF00331472.pdf,,,,,,,
970,3/11,"toxoplasma, felid, oocyst, feces",Pubmed,Coccidian-like nature of Toxoplasma gondii,1970,UK,Europe,,Y,N,N,2,2,100.00,,,,Y,Domestic-Exp,N,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1699084/,,,,,,,
1047,3/26,,Reference search,"The identity of Toxoplasma Nicolle and Manceaux, 1909 with Isospora Schneider, 1881",1970,Netherlands,Europe,,Y,N,Y,4,4,100,,,,Y,Domestic-Exp,N,,https://www.cabdirect.org/cabdirect/abstract/19702902002,,,,,,,
490,2/29,"toxoplasma, felid, species",Pubmed,The Toxoplasma gondii oocyst from cat feces,1970,USA,North America,,Y,N,Y,50,35,70.00,III,M7741,2,Y,Domestic-Exp,N,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2138867/,,,,,,,
512,3/8,"toxoplasma, felid, species",Pubmed,Toxoplasma gondii in cats: fecal stages identified as coccidian oocysts,1970,USA,North America,,Y,N,Y,9,7,77.78,III,M7741,1,Y,Domestic-Exp,N,,https://www.jstor.org/stable/1728441?seq=1#metadata_info_tab_contents,,,,,,,
1042,3/24,,Reference search,Characterization of the New Fecal Form of Toxoplasma gondii,1970,USA,North America,,Y,N,Y,52,46,88.46,III,M7741,3,Y,Domestic-Exp,N,many experiments,https://www.jstor.org/stable/3277601?seq=2#metadata_info_tab_contents,,,,,,,
612,3/8,"toxoplasma, felid, species",Pubmed,Experimental and histological studies on Toxoplasma infections in house cats,1971,Germany,Europe,German,Y,N,Y,23,16,69.56521739,I,RH,,Y,Domestic-Exp,N,,https://rd.springer.com/content/pdf/10.1007/BF00259582.pdf,,,,,,,
1049,3/26,,Reference search,"The life cycle of the coccidian parasite, Toxoplasma gondii, in the domestic cat",1971,UK,Europe,,Y,N,N,17,9,52.94117647,,,,Y,Domestic-Exp,N,,https://academic.oup.com/trstmh/article-abstract/65/3/380/1932172,,,,,,,
571,3/8,"toxoplasma, felid, species",Pubmed,Experimental toxoplasma infection in mice with strains producing oocysts,1973,USA,North America,,N,N,Y,4,4,100,III,"M7741, S1, BWN, Aldrin",,Y,Domestic-Exp,N,cats infected to obtain oocysts,https://www.jstor.org/stable/3278784?seq=2#metadata_info_tab_contents,,,,,,,
1045,3/24,,Reference search,Untersuchungen über die Möglichkeit der Ausscheidung von Toxoplasmen in Sekreten und Exkreten nach oraler Infektion mit Toxoplasma-Zysten und-Oozysten bei der Katze,1973,Germany,Europe,German,Y,N,N,5,4,80.00,,Ktz 1983,,Y,Domestic-Exp,N,,https://agris.fao.org/agris-search/search.do?recordID=US201303244097,,,,,,,
1020,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Presence of toxoplasma in secretions and excretions of the cat following oral infection with toxoplasma cysts and -oocysts,1973,Germany,Europe,German,Y,N,Y,12,10,83.33,,,,Y,Domestic-Exp,N,no link to full article,,,,,,,,
1038,3/24,,Reference search,Experimentelle Toxoplasma-Infektionen bei der Katze. III. Entwicklungsstadien nach oraler ToxoplasmaOozysten-Infektion im Darm der Katze,1974,Germany,Europe,German,Y,N,Y,5,3,60.00,,Ktz938,,Y,Domestic-Exp,N,,https://agris.fao.org/agris-search/search.do?recordID=US201303128901,,,,,,,
72,2/16,toxoplasma AND cat AND shedding,Pubmed,Feline toxoplasmosis from acutely infected mice and the development of Toxoplasma cysts,1976,USA,North America,,Y,N,N,43,8,16-100,III,M7741,2,Y,Domestic-Exp,N,"multiple experiments in this paper, over pooled prevalence calculated",https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1550-7408.1976.tb03836.x,,,,,,,
785,3/10,"toxoplasma, transmission, felid",Pubmed,Attempted transmission of feline coccidia from chronically infected queens to their kittens,1977,USA,North America,,Y,N,N,55,9,16.36,,,,Y,Domestic-Exp,N,,https://www.ncbi.nlm.nih.gov/pubmed/557469,,,,,,,
708,3/10,"toxoplasma, transmission, felid",Pubmed,Transmission of toxoplasma oocysts from domestic cats to rabbits,1979,Germany,Europe,German,Y,N,N,10,9,90.00,II,Gail,,Y,Domestic-Exp,N,,https://europepmc.org/article/med/44948,,,,,,,
1018,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Oocyst formation in cats survived after intraperitoneal inoculation of Toxoplasma cysts,1981,Japan,Asia,,Y,N,Y,9,5,55.56,,,1.5,Y,Domestic-Exp,N,,https://www.jstage.jst.go.jp/article/jvms1939/43/3/43_3_345/_pdf/-char/en,https://pubmed.ncbi.nlm.nih.gov/7321361/,,,,,,
1041,3/24,,Reference search,Experimental feline toxoplasmosis,1981,Japan,Asia,,Y,N,N,3,1,33.33,,NF-21,,Y,Domestic-Exp,N,,,,,,,,,
204,2/21,toxoplasma AND felid AND shedding,Pubmed,Sex determination and sex differentiation in Isospora (Toxoplasma) gondii,1981,Netherlands,Europe,,Y,N,Y,8,7,87.50,,KB,1,Y,Domestic-Exp,N,,https://www.sciencedirect.com/science/article/pii/0035920381902145,,,,,,,
1043,3/24,,Reference search,Versuche zur Verhinderung der Ausscheidung von Toxoplasma-Oozysten im Katzenkot durch medikiertes Futter,1982,Germany,Europe,German,Y,N,N,6,1,16.67,,GTPI,,Y,Domestic-Exp,N,,https://agris.fao.org/agris-search/search.do?recordID=US201300358203,,,,,,,
1046,3/24,,Reference search,Caracterizacion de l cepa V-1 de Toxoplasma gondii (Sporozoa). II. Inoculacion en hospedadores definitivos,1983,,,Spanish,Y,N,N,2,2,100.00,,Ktz 1983,,Y,Domestic-Exp,N,,https://agris.fao.org/agris-search/search.do?recordID=US201302139202,,,,,,,
1040,3/24,,Reference search,Verlauf der Antikörpertiter im Serum von Katzen nach experimenteller infektion mit Toxoplasma gondii und Hammondia hammondi,1985,Germany,Europe,German,Y,N,N,33,3,9.09,,GPTI,,Y,Domestic-Exp,N,,https://agris.fao.org/agris-search/search.do;jsessionid=779F48AFE54ABF9EE0C7890035E14225?request_locale=es&recordID=US201300401036&sourceQuery=&query=&sortField=&sortOrder=&agrovocString=&advQuery=&centerString=&enableField=&aggregatorField=&typeresultsField=,,,,,,,
1044,3/24,,Reference search,Versuche zur Unterdrückung der Bildung von Oozysten und Zysten von Toxoplasma gondii in Katzen durch Medikation des Futters mit Toltrazuril,1986,Germany,Europe,German,Y,N,N,5,2,40.00,,GTPI,,Y,Domestic-Exp,N,,,,,,,,,
962,3/11,"toxoplasma, felid, oocyst, feces",Pubmed,Oocyst-induced Toxoplasma gondii infections in cats,1989,USA,North America,,Y,N,Y,25,1,4.00,III,"T1, T265 (M7741)",1,Y,Domestic-Exp,N,,https://www.jstor.org/stable/3283060?seq=1#metadata_info_tab_contents,,,,,,,
1015,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Experimental feline toxoplasmosis: humoral immune responses of cats inoculated orally with Toxoplasma gondii cysts and oocysts,1990,Japan,Asia,,Y,N,N,3,3,100.00,,S-273,3,Y,Domestic-Exp,N,,https://www.jstage.jst.go.jp/article/jvms1939/52/4/52_4_865/_pdf/-char/en,,,,,,,
62,2/16,toxoplasma AND cat AND shedding,Pubmed,Concurrent infection with Toxoplasma gondii and feline leukemia virus. Antibody response and oocyst production,1991,USA,North America,,Y,N,N,4,4,100.00,,,3,Y,Domestic-Exp,N,2 controls not fed cysts,https://www.ncbi.nlm.nih.gov/pubmed/1920257,,,,,,,
80,2/16,toxoplasma AND cat AND shedding,Pubmed,Prospective vaccine prepared from a new mutant of Toxoplasma gondii for use in cats,1991,USA,North America,,Y,N,N,37,6,16.22,III,T-263,,Y,Domestic-Exp,N,not all kittens protected against shedding,https://www.ncbi.nlm.nih.gov/pubmed/1854103,,,,,,,
142,2/21,toxoplasma AND cat AND shedding,WoS,CELLULAR-RESPONSES OF CATS WITH PRIMARY TOXOPLASMOSIS,1991,USA,North America,,Y,N,N,4,4,100.00,III,T264 (M7741),2,Y,Domestic-Exp,N,,https://www.jstor.org/stable/3283096?seq=4#metadata_info_tab_contents,,,,,,,
875,3/10,"toxoplasma, transmission, felid",Pubmed,"Examination of tissue cyst formation by Toxoplasma gondii in cell cultures using bradyzoites, tachyzoites, and sporozoites",1991,USA,North America,,Y,N,Y,9,7,77.78,I (#10),GT-1,,Y,Domestic-Exp,N,,https://www.ncbi.nlm.nih.gov/pubmed/1992083,,,,,,,
1053,3/31,,Reference search,Isoenzyme Analysis of 35 Toxoplasma gondii Isolates and the Biological and Epidemiological Implications,1992,France,Europe,,Y,N,N,20,16,80,,"S1, S2, S3, PRUGNIAUD, CHAM, BOU, CH1, CH2, 76K, Beverly, M7741, CEP, NED, C, ELG, CHAMON",,Y,Domestic-Exp,N,,https://www.jstor.org/stable/3283305?origin=crossref&seq=1#metadata_info_tab_contents,,,,,,,
145,2/21,toxoplasma AND cat AND shedding,WoS,Effect of primary phase feline immunodeficiency virus infection on cats with chronic toxoplasmosis,1992,USA,North America,,Y,N,N,10,6,60.00,II,ME49,4,Y,Domestic-Exp,N,,https://www.sciencedirect.com/science/article/pii/016524279290125A,,,,,,,
986,3/12,"toxoplasma, felid, oocyst, feces",Pubmed,Experimental toxoplasmosis in pregnant cats,1993,Japan,Asia,,Y,N,Y,9,9,100.00,,K,,Y,Domestic-Exp,N,unclear if kittens shed oocysts,https://www.ncbi.nlm.nih.gov/pubmed/8117796,,,,,,,
74,2/16,toxoplasma AND cat AND shedding,Pubmed,"Immunization of cats with tissue cysts, bradyzoites, and tachyzoites of the T-263 strain of Toxoplasma gondii",1993,USA,North America,,Y,N,N,7,5,71.43,III,"T-263, T-265 (from M7741)",2,Y,Domestic-Exp,N,,https://www.ncbi.nlm.nih.gov/pubmed/8410543,,,,,,,
104,2/21,toxoplasma AND cat AND shedding,WoS,TRANSFER OF ANTIBODIES TO KITTENS FROM MOTHER CATS CHRONICALLY INFECTED WITH TOXOPLASMA-GONDI,1994,Japan,Asia,,Y,N,N,30,4,13.33,,S273,3,Y,Domestic-Exp,N,,https://www.sciencedirect.com/science/article/pii/0304401794901139,,,,,,,
1039,3/24,,Reference search,Evaluierung diagnostischer Tests zur Untersuchung von Infektionen mit Toxoplasma gondii bei Katzen und Schafen,1995,Germany,Europe,German,Y,N,N,6,6,100.00,,"KSPI, GPTI ",,Y,Domestic-Exp,N,,https://agris.fao.org/agris-search/search.do?recordID=US201300300245,,,,,,,
134,2/21,toxoplasma AND cat AND shedding,WoS,Diagnosis of induced toxoplasmosis in neonatal cats,1995,USA,North America,,Y,N,N,51,11,21.57,,,,Y,Domestic-Exp,N,,https://europepmc.org/article/med/7601711,,,,,,,
53,2/16,toxoplasma AND cat AND shedding,Pubmed,Toxoplasma gondii: experimental infection in cats vaccinated with 60Co-irradiated tachyzoites,1996,Japan,Asia,,Y,N,Y,21,18,85.71,I,RH,1,Y,Domestic-Exp,N,Vaccine study?,https://www.sciencedirect.com/science/article/pii/S0304401796009739?via%3Dihub,,,,,,,
73,2/16,toxoplasma AND cat AND shedding,Pubmed,Infectivity and pathogenicity of Toxoplasma gondii oocysts for cats,1996,USA,North America,,Y,N,N,20,8,40.00,III,VEG,1.16,Y,Domestic-Exp,N,,https://www.ncbi.nlm.nih.gov/pubmed/8973406,,,,,,,
